Date,Price,Open,High,Low,Vol.,Change %
9/30/2015,"6,061.61","5,909.24","6,061.61","5,909.24",1.05B,2.58
9/29/2015,"5,909.24","5,958.86","5,958.86","5,877.08",1.03B,-0.83
9/28/2015,"5,958.86","6,109.01","6,110.31","5,958.86",997.74M,-2.46
9/25/2015,"6,109.01","5,961.49","6,120.67","5,961.49",863.42M,2.47
9/24/2015,"5,961.49","6,032.24","6,055.64","5,947.19",894.32M,-1.17
9/23/2015,"6,032.24","5,935.84","6,067.56","5,933.23",748.15M,1.62
9/22/2015,"5,935.84","6,108.71","6,111.57","5,935.84",970.78M,-2.83
9/21/2015,"6,108.71","6,104.11","6,168.74","6,083.64",719.11M,0.08
9/18/2015,"6,104.11","6,186.99","6,188.74","6,053.87",1.55B,-1.34
9/17/2015,"6,186.99","6,229.21","6,239.86","6,182.63",861.35M,-0.68
9/16/2015,"6,229.21","6,137.60","6,244.94","6,137.60",844.32M,1.49
9/15/2015,"6,137.60","6,084.59","6,158.08","6,019.92",728.37M,0.87
9/14/2015,"6,084.59","6,117.76","6,191.82","6,065.43",617.18M,-0.54
9/11/2015,"6,117.76","6,155.81","6,174.28","6,113.10",584.62M,-0.62
9/10/2015,"6,155.81","6,229.01","6,229.01","6,127.52",772.72M,-1.18
9/9/2015,"6,229.01","6,146.10","6,284.17","6,146.10",756.98M,1.35
9/8/2015,"6,146.10","6,074.52","6,196.47","6,074.52",685.13M,1.18
9/7/2015,"6,074.52","6,042.92","6,125.67","6,042.92",479.13M,0.52
9/4/2015,"6,042.92","6,194.10","6,194.10","6,040.49",766.16M,-2.44
9/3/2015,"6,194.10","6,083.31","6,215.74","6,083.31",758.47M,1.82
9/2/2015,"6,083.31","6,058.54","6,161.68","6,021.36",791.46M,0.41
9/1/2015,"6,058.54","6,247.94","6,247.94","6,028.71",1.03B,-3.03
8/28/2015,"6,247.94","6,192.03","6,247.94","6,152.01",895.70M,0.9
8/27/2015,"6,192.03","5,979.20","6,212.48","5,979.20",1.06B,3.56
8/26/2015,"5,979.20","6,081.34","6,095.05","5,949.94",1.02B,-1.68
8/25/2015,"6,081.34","5,898.87","6,115.74","5,898.87",1.38B,3.09
8/24/2015,"5,898.87","6,187.65","6,187.65","5,768.22",1.71B,-4.67
8/21/2015,"6,187.65","6,367.89","6,367.89","6,187.65",832.21M,-2.83
8/20/2015,"6,367.89","6,403.45","6,408.61","6,359.71",750.76M,-0.56
8/19/2015,"6,403.45","6,526.29","6,526.52","6,403.45",721.08M,-1.88
8/18/2015,"6,526.29","6,550.30","6,564.55","6,505.69",555.00M,-0.37
8/17/2015,"6,550.30","6,550.74","6,585.88","6,507.76",485.85M,-0.01
8/14/2015,"6,550.74","6,568.33","6,603.17","6,544.42",595.48M,-0.27
8/13/2015,"6,568.33","6,571.19","6,634.71","6,553.45",689.59M,-0.04
8/12/2015,"6,571.19","6,664.54","6,664.54","6,536.41",1.12B,-1.4
8/11/2015,"6,664.54","6,736.22","6,736.22","6,663.98",727.57M,-1.06
8/10/2015,"6,736.22","6,718.49","6,751.49","6,653.65",789.15M,0.26
8/7/2015,"6,718.49","6,747.09","6,754.77","6,718.49",614.01M,-0.42
8/6/2015,"6,747.09","6,752.41","6,763.34","6,717.49",713.00M,-0.08
8/5/2015,"6,752.41","6,686.57","6,764.82","6,686.57",873.48M,0.98
8/4/2015,"6,686.57","6,688.62","6,715.51","6,644.65",1.44B,-0.03
8/3/2015,"6,688.62","6,696.28","6,710.79","6,668.18",700.91M,-0.11
7/31/2015,"6,696.28","6,668.87","6,705.42","6,646.26",958.42M,0.41
7/30/2015,"6,668.87","6,631.00","6,697.40","6,631.00",802.15M,0.57
